id,username,timestamp,result,ip,user_agent,detail
f347687fccc6,admin,2026-08-05 01:15:54,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
1efd8c22bb48,admin,2026-08-05 01:16:03,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
4084c1653e3e,admin,2026-08-05 01:16:10,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
8f758afe89cd,admin,2026-08-05 01:16:22,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
7bd23e7eeb5a,admin,2026-08-05 01:16:33,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
dcc33803ec33,admin,2026-08-05 01:16:41,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
3357429eee29,teacher1,2026-08-05 01:19:15,FAILED,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",Unknown account
b0bc8ab6daf1,teacher1,2026-08-05 01:20:20,FAILED,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",Unknown account
bae79cb3b67a,teacher1,2026-08-05 01:20:30,FAILED,127.0.0.1,curl/8.18.0,Unknown account
abb5ea9a0583,teacher1,2026-08-05 01:20:49,FAILED,127.0.0.1,curl/8.18.0,Wrong password
addb9310d9f2,teacher1,2026-08-05 01:20:56,FAILED,127.0.0.1,curl/8.18.0,Wrong password
6149ed8e20cc,teacher1,2026-08-05 01:21:28,SUCCESS,127.0.0.1,curl/8.18.0,role=staff
1164a4d38a19,teststaff,2026-08-05 01:21:28,SUCCESS,127.0.0.1,curl/8.18.0,role=user
ec246c7933cf,admin,2026-08-05 01:21:28,SUCCESS,127.0.0.1,curl/8.18.0,role=super_admin
67a57952761d,teacher1,2026-08-05 01:22:59,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=staff
3122c0d41ed5,admin,2026-08-05 01:45:37,SUCCESS,127.0.0.1,curl/8.18.0,role=super_admin
e2294bdf909a,admin,2026-08-05 01:45:53,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
52e3bd0f68cb,admin,2026-08-05 01:46:45,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
f84c6707ec10,admin,2026-08-05 01:54:34,SUCCESS,127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36",role=super_admin
